Model,ROC-AUC,PR-AUC,F1-Score,Precision,Recall,KS-Statistic
Logistic Regression,0.876443224180098,0.7323262590257595,0.6410714285714286,0.5398496240601504,0.789010989010989,0.6175961234500763
Decision Tree,0.9020841761336633,0.8523211157507714,0.7709750566893424,0.7962529274004684,0.7472527472527473,0.6983303158318246
Random Forest,0.9337526149837556,0.8843660384019306,0.8149637972646823,0.903657448706512,0.7421245421245422,0.727814289914471
XGBoost,0.9460349145925488,0.8990755244937012,0.8002964060763246,0.8095952023988006,0.7912087912087912,0.7449616567299127
LightGBM (Default),0.9457176900749622,0.897883866219705,0.8031030661248615,0.8099850968703428,0.7963369963369963,0.7444510026284317
LightGBM (Tuned),0.9515277989629225,0.9081654297048313,0.8172124904798173,0.8509119746233148,0.7860805860805861,0.7649664758898314
